app,module,from_doctype,fieldname,relation,to_doctype,to_origin
erpnext,Accounts,Account,company,link,Company,erpnext/Setup
erpnext,Accounts,Account,account_currency,link,Currency,frappe/Geo
erpnext,Accounts,Account,parent_account,link,Account,erpnext/Accounts
erpnext,Accounts,Account,account_category,link,Account Category,erpnext/Accounts
erpnext,Accounts,Account Closing Balance,account,link,Account,erpnext/Accounts
erpnext,Accounts,Account Closing Balance,cost_center,link,Cost Center,erpnext/Accounts
erpnext,Accounts,Account Closing Balance,account_currency,link,Currency,frappe/Geo
erpnext,Accounts,Account Closing Balance,project,link,Project,erpnext/Projects
erpnext,Accounts,Account Closing Balance,company,link,Company,erpnext/Setup
erpnext,Accounts,Account Closing Balance,finance_book,link,Finance Book,erpnext/Accounts
erpnext,Accounts,Account Closing Balance,period_closing_voucher,link,Period Closing Voucher,erpnext/Accounts
erpnext,Accounts,Accounting Dimension,document_type,link,DocType,frappe/Core
erpnext,Accounts,Accounting Dimension,dimension_defaults,child_table,Accounting Dimension Detail,erpnext/Accounts
erpnext,Accounts,Accounting Dimension Detail,company,link,Company,erpnext/Setup
erpnext,Accounts,Accounting Dimension Detail,reference_document,link,DocType,frappe/Core
erpnext,Accounts,Accounting Dimension Detail,offsetting_account,link,Account,erpnext/Accounts
erpnext,Accounts,Accounting Dimension Detail,default_dimension,dynamic_link,<reference_document>,polymorphic
erpnext,Accounts,Accounting Dimension Filter,company,link,Company,erpnext/Setup
erpnext,Accounts,Accounting Dimension Filter,accounts,child_table,Applicable On Account,erpnext/Accounts
erpnext,Accounts,Accounting Dimension Filter,dimensions,child_table,Allowed Dimension,erpnext/Accounts
erpnext,Accounts,Accounting Period,company,link,Company,erpnext/Setup
erpnext,Accounts,Accounting Period,exempted_role,link,Role,frappe/Core
erpnext,Accounts,Accounting Period,closed_documents,child_table,Closed Document,erpnext/Accounts
erpnext,Accounts,Accounts Settings,credit_controller,link,Role,frappe/Core
erpnext,Accounts,Accounts Settings,role_allowed_to_over_bill,link,Role,frappe/Core
erpnext,Accounts,Accounts Settings,role_allowed_to_bypass_overdue_billing,link,Role,frappe/Core
erpnext,Accounts,Accounts Settings,role_to_override_stop_action,link,Role,frappe/Core
erpnext,Accounts,Accounts Settings,role_to_notify_on_depreciation_failure,link,Role,frappe/Core
erpnext,Accounts,Accounts Settings,repost_allowed_types,child_table,Repost Allowed Types,erpnext/Accounts
erpnext,Accounts,Advance Payment Ledger Entry,voucher_type,link,DocType,frappe/Core
erpnext,Accounts,Advance Payment Ledger Entry,against_voucher_type,link,DocType,frappe/Core
