app,module,doctype,kind,frappe_table,proposed_table,columns,links,child_tables,indexes,submittable,tree,single,autoname
erpnext,Accounts,Account,tree-master,tabAccount,account,18,4,0,4,0,1,0,
erpnext,Accounts,Account Category,master,tabAccount Category,account_category,3,0,0,0,0,0,0,field:account_category_name
erpnext,Accounts,Account Closing Balance,transaction,tabAccount Closing Balance,account_closing_balance,16,7,0,4,1,0,0,
erpnext,Accounts,Accounting Dimension,master,tabAccounting Dimension,accounting_dimension,4,1,1,1,0,0,0,field:label
erpnext,Accounts,Accounting Dimension Detail,child,tabAccounting Dimension Detail,accounting_dimension_detail,7,3,0,0,0,0,0,
erpnext,Accounts,Accounting Dimension Filter,master,tabAccounting Dimension Filter,accounting_dimension_filter,6,1,2,0,0,0,0,format:{accounting_dimension}-{#####}
erpnext,Accounts,Accounting Period,master,tabAccounting Period,accounting_period,6,2,1,0,0,0,0,field:period_name
erpnext,Accounts,Accounts Settings,single,tabAccounts Settings,accounts_settings,64,5,1,0,0,0,1,
erpnext,Accounts,Advance Payment Ledger Entry,transaction,tabAdvance Payment Ledger Entry,advance_payment_ledger_entry,11,4,0,0,1,0,0,
erpnext,Accounts,Advance Taxes and Charges,child,tabAdvance Taxes and Charges,advance_taxes_and_charges,18,4,0,1,0,0,0,
erpnext,Accounts,Allowed Dimension,child,tabAllowed Dimension,allowed_dimension,2,1,0,0,0,0,0,
erpnext,Accounts,Allowed To Transact With,child,tabAllowed To Transact With,allowed_to_transact_with,1,1,0,0,0,0,0,
erpnext,Accounts,Applicable On Account,child,tabApplicable On Account,applicable_on_account,2,1,0,0,0,0,0,
erpnext,Accounts,Bank,master,tabBank,bank,4,0,1,0,0,0,0,field:bank_name
erpnext,Accounts,Bank Account,master,tabBank Account,bank_account,19,6,0,0,0,0,0,
erpnext,Accounts,Bank Account Balance,master,tabBank Account Balance,bank_account_balance,4,2,0,0,0,0,0,
erpnext,Accounts,Bank Account Subtype,master,tabBank Account Subtype,bank_account_subtype,1,0,0,0,0,0,0,field:account_subtype
erpnext,Accounts,Bank Account Type,master,tabBank Account Type,bank_account_type,1,0,0,0,0,0,0,field:account_type
erpnext,Accounts,Bank Clearance,single,tabBank Clearance,bank_clearance,7,3,1,0,0,0,1,
erpnext,Accounts,Bank Clearance Detail,child,tabBank Clearance Detail,bank_clearance_detail,8,1,0,0,0,0,0,
erpnext,Accounts,Bank Guarantee,transaction,tabBank Guarantee,bank_guarantee,24,8,0,0,1,0,0,ACC-BG-.YYYY.-.#####
erpnext,Accounts,Bank Reconciliation Tool,single,tabBank Reconciliation Tool,bank_reconciliation_tool,10,3,0,0,0,0,1,
erpnext,Accounts,Bank Statement Import,master,tabBank Statement Import,bank_statement_import,17,4,0,0,0,0,0,format:Bank Statement Import on {creation}
erpnext,Accounts,Bank Statement Import Log,master,tabBank Statement Import Log,bank_statement_import_log,18,2,1,0,0,0,0,hash
erpnext,Accounts,Bank Statement Import Log Column Map,child,tabBank Statement Import Log Column Map,bank_statement_import_log_column_map,4,0,0,0,0,0,0,
erpnext,Accounts,Bank Transaction,transaction,tabBank Transaction,bank_transaction,24,6,1,0,1,0,0,naming_series:
erpnext,Accounts,Bank Transaction Mapping,child,tabBank Transaction Mapping,bank_transaction_mapping,2,0,0,0,0,0,0,
erpnext,Accounts,Bank Transaction Payments,child,tabBank Transaction Payments,bank_transaction_payments,5,1,0,0,0,0,0,
erpnext,Accounts,Bank Transaction Rule,master,tabBank Transaction Rule,bank_transaction_rule,12,3,2,0,0,0,0,field:rule_name
erpnext,Accounts,Bank Transaction Rule Accounts,child,tabBank Transaction Rule Accounts,bank_transaction_rule_accounts,6,2,0,0,0,0,0,
erpnext,Accounts,Bank Transaction Rule Description Conditions,child,tabBank Transaction Rule Description Conditions,bank_transaction_rule_description_conditions,2,0,0,0,0,0,0,
